,id,label
0,5001711,1
1,5001712,1
2,5001713,1
3,5001714,1
4,5001715,1
5,5001717,1
6,5001718,0
7,5001719,1
8,5001720,0
9,5001723,1
10,5001724,1
11,5001725,1
12,5001726,1
13,5001728,1
14,5001729,1
15,5001730,1
16,5001731,1
17,5001732,1
18,5001733,1
19,5001734,1
20,5001735,1
21,5001736,1
22,5001737,1
23,5001738,1
24,5001739,1
25,5001742,1
26,5001743,1
27,5001744,1
28,5001745,1
29,5001746,1
30,5001747,1
31,5001748,1
32,5001754,1
33,5001755,1
34,5001756,1
35,5001757,0
36,5001758,1
37,5001759,1
38,5001760,1
39,5001765,1
40,5001766,1
41,5001767,1
42,5001768,1
43,5001769,1
44,5001770,1
45,5001771,1
46,5001772,1
47,5001773,1
48,5001774,1
49,5001775,1
50,5001778,1
51,5001779,1
52,5001780,1
53,5001782,1
54,5001783,1
55,5001784,1
56,5001785,1
57,5001786,0
58,5001787,1
59,5001788,1
60,5001789,1
61,5001790,1
62,5001791,1
63,5001792,0
64,5001793,0
65,5001794,1
66,5001795,1
67,5001796,1
68,5001798,1
69,5001800,1
70,5001803,1
71,5001804,1
72,5001805,1
73,5001806,1
74,5001807,1
75,5001808,1
76,5001812,1
77,5001813,1
78,5001816,0
79,5001817,0
80,5001818,1
81,5001819,1
82,5001820,1
83,5001821,1
84,5001823,1
85,5001824,1
86,5001825,1
87,5001827,1
88,5001828,1
89,5001829,1
90,5001830,1
91,5001831,1
92,5001832,1
93,5001833,1
94,5001836,0
95,5001837,1
96,5001838,1
97,5001839,1
98,5001840,1
99,5001841,1
100,5001842,1
101,5001843,1
102,5001844,0
103,5001846,1
104,5001847,1
105,5001848,0
106,5001849,1
107,5001850,1
108,5001851,1
109,5001852,1
110,5001853,1
111,5001854,1
112,5001855,1
113,5001856,0
114,5001857,1
115,5001858,1
116,5001859,1
117,5001860,1
118,5001861,1
119,5001862,1
120,5001863,1
121,5001864,1
122,5001867,1
123,5001870,1
124,5001871,1
125,5001872,1
126,5001873,1
127,5001874,1
128,5001875,1
129,5001876,1
130,5001877,1
131,5001879,1
132,5001882,1
133,5001883,1
134,5001886,1
135,5001887,1
136,5001888,0
137,5001889,1
138,5001890,1
139,5001891,1
140,5001892,1
141,5001893,1
142,5001894,1
143,5001895,1
144,5001896,0
145,5001897,1
146,5001898,1
147,5001899,1
148,5001900,1
149,5001901,1
150,5001902,1
151,5001904,1
152,5001905,1
153,5001906,1
154,5001907,1
155,5001908,1
156,5001909,1
157,5001910,1
158,5001911,1
159,5001912,1
160,5001913,1
161,5001914,1
162,5001915,1
163,5001916,1
164,5001917,1
165,5001918,0
166,5001919,1
167,5001920,1
168,5001921,1
169,5001922,0
170,5001923,0
171,5001924,1
172,5001925,1
173,5001926,0
174,5001927,0
175,5001931,1
176,5001932,1
177,5001933,0
178,5001936,1
179,5001940,1
180,5001941,1
181,5001942,1
182,5001943,1
183,5001944,1
184,5001945,1
185,5001946,1
186,5001947,1
187,5001948,1
188,5001949,1
189,5001950,1
190,5001951,1
191,5001952,1
192,5001953,1
193,5001954,1
194,5001956,1
195,5001957,1
196,5001958,1
197,5001959,0
198,5001960,1
199,5001961,1
200,5001962,1
201,5001963,1
202,5001964,1
203,5001965,1
204,5001966,1
205,5001967,1
206,5001968,1
207,5001970,1
208,5001976,1
209,5001982,1
210,5001983,1
211,5001986,1
212,5001987,1
213,5001988,0
214,5001989,1
215,5001990,1
216,5001991,1
217,5001993,1
218,5001994,1
219,5001995,1
220,5001996,1
221,5001997,1
222,5001998,1
223,5001999,1
224,5002000,1
225,5002001,1
226,5002002,1
227,5002003,1
228,5002004,1
229,5002005,1
230,5002006,1
231,5002007,1
232,5002008,1
233,5002009,1
234,5002010,1
235,5002011,1
236,5002012,1
237,5002013,1
238,5002015,1
239,5002016,1
240,5002018,1
241,5002019,1
242,5002020,1
243,5002021,1
244,5002022,1
245,5002023,1
246,5002024,1
247,5002025,1
248,5002026,1
249,5002028,1
250,5002029,1
251,5002030,1
252,5002031,1
253,5002032,1
254,5002033,1
255,5002034,1
256,5002035,1
257,5002037,1
258,5002038,1
259,5002039,1
260,5002041,1
261,5002042,0
262,5002043,1
263,5002044,0
264,5002046,1
265,5002047,1
266,5002048,1
267,5002049,1
268,5002050,1
269,5002052,1
270,5002053,1
271,5002054,1
272,5002055,1
273,5002057,1
274,5002058,1
275,5002059,1
276,5002060,1
277,5002061,0
278,5002062,1
279,5002068,1
280,5002069,1
281,5002070,1
282,5002071,1
283,5002072,1
284,5002073,1
285,5002076,1
286,5002077,1
287,5002078,1
288,5002079,1
289,5002080,1
290,5002081,1
291,5002082,1
292,5002083,1
293,5002084,1
294,5002085,0
295,5002087,1
296,5002088,1
297,5002091,0
298,5002094,1
299,5002096,1
300,5002097,1
301,5002098,1
302,5002101,1
303,5002104,1
304,5002105,0
305,5002106,1
306,5002107,1
307,5002108,0
308,5002109,1
309,5002110,1
310,5002111,1
311,5002112,1
312,5002113,1
313,5002114,1
314,5002115,1
315,5002116,1
316,5002118,1
317,5002120,1
318,5002121,1
319,5002123,0
320,5002124,1
321,5002126,0
322,5002128,0
323,5002130,1
324,5002131,1
325,5002134,1
326,5002135,1
327,5002138,1
328,5002140,1
329,5002141,1
330,5002142,1
331,5002144,1
332,5002145,1
333,5002146,1
334,5002147,1
335,5002148,1
336,5002149,1
337,5002150,1
338,5002151,1
339,5002152,1
340,5002153,1
341,5002154,0
342,5002155,1
343,5002156,1
344,5002157,1
345,5002158,1
346,5002160,1
347,5002161,1
348,5002162,1
349,5002163,1
350,5002164,1
351,5002165,1
352,5002168,1
353,5002169,1
354,5002170,1
355,5002171,1
356,5002175,1
357,5002176,1
358,5002177,1
359,5002178,1
360,5002179,1
361,5002181,1
